Originalid,stationid,date,in_bike,out_bike
29,2495,2017/7/21,20,17
29,2495,2017/7/22,8,18
29,2495,2017/7/23,13,10
29,2495,2017/7/24,9,15
29,2495,2017/7/25,12,12
29,2495,2017/7/26,22,20
29,2495,2017/7/27,10,11
29,2495,2017/7/28,6,19
29,2495,2017/7/29,9,4
29,2495,2017/7/30,13.5,8.5
30,2552,2017/7/1,12,15
30,2552,2017/7/2,12,15
30,2552,2017/7/3,13,9
30,2552,2017/7/4,12,11
30,2552,2017/7/5,15,16
30,2552,2017/7/6,13,14
30,2552,2017/7/7,9,7
30,2552,2017/7/8,9,14
30,2552,2017/7/9,20,19
30,2552,2017/7/10,14,11
30,2552,2017/7/11,22,17
30,2552,2017/7/12,11,11
30,2552,2017/7/13,13,15
30,2552,2017/7/14,14,12
30,2552,2017/7/15,13,11
30,2552,2017/7/16,16,19
30,2552,2017/7/17,13,16
30,2552,2017/7/18,21,16
30,2552,2017/7/19,18,14
30,2552,2017/7/20,16,16
30,2552,2017/7/21,17,12
30,2552,2017/7/22,15,6
30,2552,2017/7/23,10,15
30,2552,2017/7/24,21,13
30,2552,2017/7/25,12,13
30,2552,2017/7/26,18,9
30,2552,2017/7/27,9,9
30,2552,2017/7/28,20,15
30,2552,2017/7/29,11,12
30,2552,2017/7/30,9.666666666666666,9.666666666666666
31,2501,2017/7/1,22,15
31,2501,2017/7/2,22,27
31,2501,2017/7/3,34,35
31,2501,2017/7/4,14,10
31,2501,2017/7/5,14,13
31,2501,2017/7/6,13,13
31,2501,2017/7/7,13,17
31,2501,2017/7/8,18,13
31,2501,2017/7/9,15,18
31,2501,2017/7/10,13,17
31,2501,2017/7/11,27,18
31,2501,2017/7/12,15,13
31,2501,2017/7/13,15,12
31,2501,2017/7/14,12,9
31,2501,2017/7/15,13,9
31,2501,2017/7/16,14,13
31,2501,2017/7/17,7,11
31,2501,2017/7/18,10,12
31,2501,2017/7/19,16,15
31,2501,2017/7/20,9,12
31,2501,2017/7/21,15,13
31,2501,2017/7/22,11,12
31,2501,2017/7/23,13,14
31,2501,2017/7/24,25,19
31,2501,2017/7/25,15,12
31,2501,2017/7/26,11,11
31,2501,2017/7/27,15,10
31,2501,2017/7/28,10,6
31,2501,2017/7/29,7,14
31,2501,2017/7/30,7.5,11
