Station,stationid,date,in_bike,out_bike
30,2552,2017/7/4,11,12
30,2552,2017/7/5,12,12
30,2552,2017/7/6,11,11
30,2552,2017/7/7,13,11
30,2552,2017/7/8,12,13
30,2552,2017/7/9,11,10
30,2552,2017/7/10,11,11
30,2552,2017/7/11,14,13
30,2552,2017/7/12,13,10
30,2552,2017/7/13,12,13
30,2552,2017/7/14,12,14
30,2552,2017/7/15,12,13
30,2552,2017/7/16,12,13
30,2552,2017/7/17,13,11
30,2552,2017/7/18,14,12
30,2552,2017/7/19,14,11
30,2552,2017/7/20,13,12
30,2552,2017/7/21,13,17
30,2552,2017/7/22,13,13
30,2552,2017/7/23,14,15
30,2552,2017/7/24,14,12
30,2552,2017/7/25,13,15
30,2552,2017/7/26,15,14
30,2552,2017/7/27,13,14
30,2552,2017/7/28,13,14
30,2552,2017/7/29,10,12
30,2552,2017/7/30,13,13
30,2552,2017/7/31,13,13
31,2501,2017/7/2,18,15
31,2501,2017/7/3,17,17
31,2501,2017/7/4,18,15
31,2501,2017/7/5,20,22
31,2501,2017/7/6,18,17
31,2501,2017/7/7,17,19
31,2501,2017/7/8,17,15
31,2501,2017/7/9,18,15
31,2501,2017/7/10,18,16
31,2501,2017/7/11,16,13
31,2501,2017/7/12,14,16
31,2501,2017/7/13,16,16
31,2501,2017/7/14,16,16
31,2501,2017/7/15,15,12
31,2501,2017/7/16,17,14
31,2501,2017/7/17,17,14
31,2501,2017/7/18,16,13
31,2501,2017/7/19,13,14
31,2501,2017/7/20,11,16
31,2501,2017/7/21,12,12
31,2501,2017/7/22,12,13
31,2501,2017/7/23,12,12
31,2501,2017/7/24,14,15
31,2501,2017/7/25,15,11
31,2501,2017/7/26,16,16
31,2501,2017/7/27,13,12
31,2501,2017/7/28,11,14
31,2501,2017/7/29,12,12
31,2501,2017/7/30,12,11
31,2501,2017/7/31,13,12
